doc_name,section,clause_id,clause_type,clause_text,clause_clean,word_count,nlp_text,cluster
Auto_Secure_Private_Car_tata_aig_6.pdf,SECTION I – LOSS OF OR DAMAGE TO THE VEHICLE INSURED,S1-C1,coverage,1. The Company will indemnify the Insured against loss or damage to the vehicle insured hereunder and/or its accessories whilst thereon:,autosecureprivatecartataaig6pdf,1,indemnify loss damage vehicle hereunder andor accessory whilst thereon,3
Auto_Secure_Private_Car_tata_aig_6.pdf,SECTION I – LOSS OF OR DAMAGE TO THE VEHICLE INSURED,S1-C2,general_clause,"(i) by fire, explosion self-ignition or lightning;",autosecureprivatecartataaig6pdf,1,fire explosion selfignition lightning,3
Auto_Secure_Private_Car_tata_aig_6.pdf,SECTION I – LOSS OF OR DAMAGE TO THE VEHICLE INSURED,S1-C3,general_clause,"(ii) by burglary, housebreaking or theft;",autosecureprivatecartataaig6pdf,1,burglary housebreaking theft,3
Auto_Secure_Private_Car_tata_aig_6.pdf,SECTION I – LOSS OF OR DAMAGE TO THE VEHICLE INSURED,S1-C4,general_clause,(iv) by earthquake (Fire and Shock Damage);,autosecureprivatecartataaig6pdf,1,earthquake fire shock damage,3
Auto_Secure_Private_Car_tata_aig_6.pdf,SECTION I – LOSS OF OR DAMAGE TO THE VEHICLE INSURED,S1-C5,general_clause,"(v) by flood, typhoon, hurricane, storm, tempest, inundation, cyclone, hailstorm, frost;",autosecureprivatecartataaig6pdf,1,flood typhoon hurricane storm tempest inundation cyclone hailstorm frost,3
Auto_Secure_Private_Car_tata_aig_6.pdf,SECTION I – LOSS OF OR DAMAGE TO THE VEHICLE INSURED,S1-C6,general_clause,(ix) whilst in transit by road rail inland - waterway lift elevator or air;,autosecureprivatecartataaig6pdf,1,whilst transit road rail inland waterway lift elevator air,3
Auto_Secure_Private_Car_tata_aig_6.pdf,SECTION I – LOSS OF OR DAMAGE TO THE VEHICLE INSURED,S1-C7,condition,"(x) by landslide, rockslide. Subject to deduction for depreciation at the rates m entioned below in respect of parts replaced: Subject to a deduction for depreciation at the rates mentioned below in respect of the parts replaced",autosecureprivatecartataaig6pdf,1,landslide rockslide deduction depreciation rate entioned respect part replaced deduction depreciation rate mentioned respect part replaced,3
Auto_Secure_Private_Car_tata_aig_6.pdf,SECTION I – LOSS OF OR DAMAGE TO THE VEHICLE INSURED,S1-C8,general_clause,"1. For All Rubber/ Nylon/ Plastic Parts, tyres, tubes and batteries 50%",autosecureprivatecartataaig6pdf,1,rubber nylon plastic part tyre tube battery,3
Auto_Secure_Private_Car_tata_aig_6.pdf,SECTION I – LOSS OF OR DAMAGE TO THE VEHICLE INSURED,S1-C9,general_clause,4. Rate of depreciation for all other p arts including wooden parts will be as per following schedule Age of the vehicle % of Deprecia- tion Not Exceeding 6 months NIL Exceeding 6 months but not exceeding 1 year 5% Exceeding 1 year but not exceeding 2 years 10% Exceeding 2 year but not exceeding 3 years 15% Exceeding 3 years but not exceeding 4 years 25% Exceeding 4 years but not exceeding 5 years 35% Exceeding 5 years but not exceeding 10 years 40% Exceeding 10 years 50%,autosecureprivatecartataaig6pdf,1,rate depreciation art wooden part per following schedule age vehicle deprecia tion exceeding month nil exceeding month exceeding year exceeding year exceeding year exceeding year exceeding year exceeding year exceeding year exceeding year exceeding year exceeding year exceeding year exceeding year,3
Auto_Secure_Private_Car_tata_aig_6.pdf,SECTION I – LOSS OF OR DAMAGE TO THE VEHICLE INSURED,S1-C10,general_clause,"5. Rate of depreciation for painting: In the case of p ainting, depreciation rate of 50% shall be applied only on the material cost of total painting charges. In case of a consolidated bill for painting charges, the material component shall be considered as 25% of the total painting charges for the purpose of applying the depreciation.",autosecureprivatecartataaig6pdf,1,rate depreciation painting case ainting depreciation rate applied material cost total painting charge case consolidated bill painting charge material component considered total painting charge purpose applying depreciation,3
